nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
ASTON Priority Simatupang & Conference Center,"Jl. Let. Jend. T.B. Simatupang Kav. 9, Kebagusan, Pasar Minggu, Jakarta Selatan, Indonesia",Rp970.917,3,4,Jakarta Selatan,-6.300601018326100,106.83508836137600
eL Hotel Royale Jakarta,"Jl. Raya Gading Kirana No.Kav.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Rp543.600,3,3,Jakarta Utara,-6.151457869943400,106.89606843862300
Wisma Rembulan,"Jl. Gurame Raya No.32, Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Rp188.500,3,3,Jakarta Selatan,-6.295053010348310,106.8363537
Social Hub by TwoSpaces,"Jl. Sosial No.52, RW.2, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",Rp174.038,6,6,Jakarta Barat,-6.162121219332040,106.77847853862300
Millennium Hotel Sirih Jakarta,"Jl. Haji Fachrudin No.3, Kampung Bali, Tanah Abang, Jakarta Pusat, Indonesia",Rp587.770,16,16,Jakarta Pusat,-6.1815124568906900,106.8167109
Hotel Indonesia Kempinski Jakarta,Jalan MH Thamrin No. 1,Rp3.123.194,8,8,Jakarta Pusat,-6.194780937991180,106.82222845396700
Samala Hotel Jakarta Cengkareng,"Jl. Daan Mogot No.Kav 2, RT.1/RW.2, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp395.848,2,2,Jakarta Barat,-6.153067344672010,106.72888173068800
Dafam Express Jaksa Jakarta,"Jl. Jaksa No. 27-29 Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Rp367.996,8,10,Jakarta Pusat,-6.184217297161390,106.82947916137600
Best Western Premier The Hive,"Jl. D.I. Panjaitan Kav 3-4 Cawang, Jakarta",Rp609.000,2,2,Jakarta Timur,-6.243901897831890,106.87560014603200
Hotel Lautze Indah,"Jl. Lautze No.24 RT.2/RW.5, Kartini, Sawah Besar, Jakarta Pusat, DKI Jakarta, Indonesia",Rp154.350,2,2,Jakarta Pusat,-6.156197373997910,106.8349268
HARRIS Hotel & Conventions Kelapa Gading Jakarta,"Jl. Boulevard Kelapa Gading Blok M, Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp869.616,4,4,Jakarta Utara,-6.156547210148370,106.91030604603200
Wyndham Casablanca Jakarta,"Jl. Csablanca Kav 18, Jakarta, Indonesia",Rp1.037.209,7,7,Jakarta Selatan,-6.223585696461090,106.8398614
HARRIS Vertu Hotel Harmoni,"Jl. Hayam Wuruk No.6, Harmoni, Jakarta, Indonesia",Rp910.860,7,7,Jakarta Pusat,-6.163675856280710,106.82075941534400
Grand Whiz Poins Simatupang Jakarta,"Poins Square Mall & Apartement, Jl. RA. Kartini No.1, Lebak Bulus, Cilandak, Jakarta, Indonesia",Rp568.176,4,4,Jakarta Selatan,-6.288932659478590,106.77759859999900
Discovery Ancol,"Jl. Lodan Timur No.7, Ancol Taman Impian, Jakarta Utara, Indonesia",Rp843.750,16,16,Jakarta Utara,-6.124703357841580,106.83125526137600
JS Luwansa Hotel & Convention Center,"Jl. H.R.Rasuna Said Kav C-22, Jakarta Selatan",Rp2.400.000,3,3,Jakarta Selatan,-6.222256893731770,106.8329595846550
City Icon Residence,"Jl. Raya Mangga Besar No.98, RT.5/RW.10, Karang Anyar, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota",Rp148.949,4,4,Jakarta Pusat,-6.147996469899740,106.8275182
HARRIS Suites FX Sudirman,"Jl.Jendral Sudirman, Pintu satu Senayan , Jakarta",Rp997.200,7,7,Jakarta Pusat,-6.2243372208024900,106.80388493862300
The Sultan Hotel & Residence Jakarta,"Jl. Gatot Subroto, Gelora, Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Rp1.449.126,10,10,Jakarta Pusat,-6.217111884638720,106.80881553862300
Sanctuary Spaces by TwoSpaces,"Jl. Wijaya Kusuma No.2, RT.1/RW.1, Jatipulo, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia",Rp255.000,6,6,Jakarta Barat,-6.178540546432430,106.79755826137600
Putri Duyung Ancol,"Jl. Lodan Timur No.7, Ancol, Jakarta, Indonesia",Rp637.245,4,7,Jakarta Utara,-6.120468768323170,106.84184836137600
ARTOTEL Suites Mangkuluhur Jakarta,"Jl. Gatot Subroto Kav. II No.03, RT.1/RW.4, Karet Semanggi, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp728.190,7,7,Jakarta Selatan,-6.2209013043931400,106.81496873862300
Merlynn Park Hotel,Jl. K.H. Hasyim Ashari No.29-31,Rp739.600,10,10,Jakarta Pusat,-6.165199892702900,106.81523319259100
Ashley Tang Menteng Jakarta,"Jl. H. Agus Salim No.34, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp980.979,5,5,Jakarta Pusat,-6.183998358815460,106.82501923809600
Cabin Hotel,"Bursa Otomotif Sunter, Jl. Yos Sudarso No.Kav. 87 - 88, RT.10/RW.11, Sunter Jaya, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Rp303.600,9,12,Jakarta Utara,-6.146834594165780,106.8876875306880
Amaris Hotel Pasar Baru,"Jl Pasar Baru Timur No 20-21, Pasar Baru, Jakarta",Rp355.725,6,6,Jakarta Pusat,-6.159201639200190,106.83652304655800
D'Arcici Hotel Cempaka Putih,"Jl.Letjend Suprapto, No.62, Cempaka Putih, Jakarta Pusat, DKI Jakarta, Indonesia",Rp283.500,3,3,Jakarta Pusat,-6.171750734516230,106.86339290000000
Sentral Cawang Hotel,"Jl. Letjen M.T. Haryono No.9 RT.1/RW.6, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp361.764,2,2,Jakarta Timur,-6.246359622160250,106.87270176931100
ARTOTEL Thamrin Jakarta,"Jl. Sunda No. 3, Thamrin, Jakarta Pusat, Jakarta, Indonesia",Rp677.160,3,3,Jakarta Pusat,-6.188332719129340,106.82502619206400
HARRIS Suites Puri Mansion,"Jl. Lingkar Luar Puri Mansion Estate Kembangan, Kembangan Selatan, Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Rp556.668,14,14,Jakarta Barat,-6.179487911689960,106.72401002327900
Hotel Royal Kuningan,"Jl. Kuningan Persada Kav 2, Jakarta, Indonesia",Rp579.225,5,6,Jakarta Selatan,-6.2061121023280700,106.82977589259100
Ra Suites Simatupang,"Jl. TB Simatupang No.30 A, Cilandak Barat, Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia",Rp945.000,10,10,Jakarta Selatan,-6.290966704476850,106.7957500693110
Whiz Hotel Cikini Jakarta,"Jl. Cikini Raya No.6, Cikini, Jakarta Pusat, DKI Jakarta 10330, Indonesia",Rp375.360,2,2,Jakarta Pusat,-6.187458661182040,106.83645212327900
Teraskita Hotel Jakarta Managed by Dafam,"Jl. MT. Haryono Kav. 10A, Cawang, Jakarta Timur, Indonesia",Rp469.200,5,5,Jakarta Timur,-6.244813556547240,106.87480263068800
Lumire Hotel & Convention Center,"JL. Senen Raya 135, Monas, Jakarta, Indonesia",Rp737.375,4,4,Jakarta Pusat,-6.175441471359710,106.84045121534400
Park Hotel Cawang - Jakarta,"Jl. D.I. Pandjaitan Kav.5 Cawang, Jakarta Timur, DKI Jakarta, Indonesia",Rp498.000,8,8,Jakarta Timur,-6.243550879587860,106.87565001534400
Ashley Tanah Abang,"Jl. K.H Wahid Hasyim 220, Kebon Kacang, Tanah Abang, Jakarta Pusat, Jakarta, Indonesia",Rp1.037.765,7,7,Jakarta Pusat,-6.1857919584238900,106.81728778465500
Swiss-Belresidences Rasuna Epicentrum,"Komplek Rasuna Epicentrum, Jl. Epicentrum Boulevard Timur, Rasuna Said, Jakarta Selatan, DKI Jakarta, Indonesia",Rp646.200,4,4,Jakarta Selatan,-6.213244456722210,106.83681533068800
Cordela Senen Jakarta,"Jl. Kramat Raya No. 102 Kwitang Senen, Jakarta Pusat, Jakarta, Indonesia",Rp382.500,8,8,Jakarta Pusat,-6.182408924468530,106.84315832275200
D'Paragon Gajah Mada,"Jl. Kejayaan No.24 RT/RW : 006/007 Krukut, Taman Sari Jakarta Barat",Rp248.025,1,3,Jakarta Barat,-6.155223904378330,106.81672872275200
HARRIS Hotel Tebet Jakarta,"Jl.DR.Sahardjo No.191, Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Rp620.908,4,4,Jakarta Selatan,-6.222062643563140,106.8477583079350
Hotel Des Indes Menteng,"Jl. HOS Cokroaminoto No. 84, Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Rp478.500,4,4,Jakarta Pusat,-6.197015809463820,106.82835779999900
